C([H])([H])([H])[N+](C([H])([H])[H])(C1=C([H])C([H])=C([H])C([H])=C1[H])[O-] AFC000140
C1([H])=C([H])C(=C(C([H])=C1[H])C(=O)O[H])C(=O)C([H])([H])C([H])([H])C(=O)O[H] AFC000141
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H] AFC000142
C([H])([H])(C(=O)C(=O)O[H])O[H] AFC000145
C([H])([H])(C(=O)C(=O)O[H])C(=O)O[H] AFC000146
C(=O)(C(=O)O[H])O[H] AFC000147
C([H])([H])(C([H])(C(=O)C(=O)O[H])C(=O)O[H])C(=O)O[H] AFC000148
C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C([H])([H])C(=O)C(=O)O[H] AFC000150
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=O AFC000151
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H] AFC000152
C([H])([H])([H])C(C([H])([H])[H])(C([H])([H])OP(=O)(O[H])O[H])C([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S[H])O[H] AFC000153
C([H])([H])=C(C(=O)O[H])OP(=O)(O[H])O[H] AFC000155
C([H])([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])OP(=O)(O[H])O[H] AFC000156
C([H])([H])(C([H])([H])OP(=O)(O[H])O[H])N([H])[H] AFC000157
C1([H])=C([H])C(=C(C([H])=C1[H])C(=O)O[H])C(=O)O[H] AFC000158
C1([H])=C([H])C(C([H])=C([H])C1([H])O[H])(C([H])([H])C(=O)C(=O)O[H])C(=O)O[H] AFC000159
C([H])([H])(C([H])([H])C([H])([H])N([H])[H])C([H])([H])N([H])[H] AFC000161
C([H])([H])([H])C1=C(C(=C(C([H])=N1)C([H])([H])O[H])C([H])=O)O[H] AFC000162
C([H])([H])([H])C1=C(C(=C(C([H])=N1)C([H])([H])OP(=O)(O[H])O[H])C([H])=O)O[H] AFC000163
C([H])([H])([H])C1=C(C(=C(C([H])=N1)C([H])([H])O[H])C([H])([H])N([H])[H])O[H] AFC000164
C([H])([H])([H])C1=C(C(=C(C([H])=N1)C([H])([H])OP(=O)(O[H])O[H])C([H])([H])N([H])[H])O[H] AFC000165
C([H])([H])([H])C1=C(C(=C(C([H])=N1)C([H])([H])O[H])C([H])([H])O[H])O[H] AFC000166
C([H])([H])([H])C1=C(C(=C(C([H])=N1)C([H])([H])OP(=O)(O[H])O[H])C([H])([H])O[H])O[H] AFC000167
C1([H])=C([H])N([H])C([H])([H])N=C1[H] AFC000168
C([H])([H])([H])C(C([H])([H])C(=O)O[H])(C(=O)O[H])O[H] AFC000172
C([H])([H])([H])N([H])C([H])([H])C(=O)O[H] AFC000174
C([H])([H])(C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])N([H])[H] AFC000176
C([H])([H])(C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H] AFC000177
C([H])([H])(C([H])([H])C(=O)O[H])C(=O)O[H] AFC000178
C([H])([H])([H])C1=C(C([H])([H])C([H])([H])O[H])SC([H])=[N+]1C([H])([H])C2=C(N([H])[H])N=C(C([H])([H])[H])N=C2[H] AFC000180
C([H])([H])([H])C1=C(C([H])([H])C([H])([H])OP(=O)(O[H])O[H])SC([H])=[N+]1C([H])([H])C2=C(N([H])[H])N=C(C([H])([H])[H])N=C2[H] AFC000181
C([H])([H])([H])C1=C(C([H])([H])C([H])([H])O[H])SC([H])=N1 AFC000182
C([H])([H])([H])C1=C(C([H])([H])C([H])([H])OP(=O)(O[H])O[H])SC([H])=N1 AFC000183
C1([H])=C([H])C2=C(C([H])=C1[H])N([H])C([H])=C2C([H])([H])C([H])([H])N([H])[H] AFC000186
C1([H])=C([H])N([H])C(=O)N([H])C1=O AFC000188
C12=C(N([H])C(=O)N1[H])N([H])C(=O)N([H])C2=O AFC000189
C([H])([H])(C([H])([H])C(=O)O[H])C1=C2C([H])([H])C3=C(C([H])([H])C([H])([H])C(=O)O[H])C(=C(C([H])([H])C4=C(C([H])([H])C(=O)O[H])C(=C(C([H])([H])C5=C(C([H])([H])C(=O)O[H])C(=C(C([H])([H])C(=C1C([H])([H])C(=O)O[H])N2[H])N5[H])C([H])([H])C([H])([H])C(=O)O[H])N4[H])C([H])([H])C([H])([H])C(=O)O[H])N3[H])C([H])([H])C(=O)O[H] AFC000191
C1([H])=NC2=C(C(=O)N([H])C(=O)N2[H])N1[H] AFC000193
C([H])([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H] AFC000194
C([H])([H])([H])OC1=C([H])C(=C([H])C([H])=C1O[H])C([H])(C(=O)O[H])O[H] AFC000195
C([H])([H])([H])C(C1=C([H])C([H])=C([H])C([H])=C1[H])(C(=O)O[H])O[H] AFC000196
C([H])([H])(C([H])([H])C([H])([H])C([H])([H])C(=O)O[H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H] AFC000197
C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])([H])OC(=O)C2=C([H])C([H])=C([H])C([H])=C2[H] AFC000198
C([H])([H])([H])C1(C([H])([H])[H])C2([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])C2([H])[H])O1 AFC000199
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H] AFC000200
C1([H])=C(C([H])=C(C(=C1[H])O[H])C(=O)O[H])O[H] AFC000201
C1([H])=C([H])C2=C(C([H])=C1[H])N([H])C(=C([H])C2=O)C(=O)O[H] AFC000202
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H] AFC000203
C([H])([H])([H])C1([H])C([H])(C([H])(C([H])(C([H])(O1)OC2([H])C([H])(C([H])(C([H])(C([H])([H])O[H])OC2([H])OC3=C([H])C4=C(C(=C3[H])O[H])C(=O)C([H])([H])C([H])(C5=C([H])C([H])=C(C([H])=C5[H])O[H])O4)O[H])O[H])O[H])O[H])O[H] AFC000204
C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C(=C([H])C([H])([H])C1=C(C([H])([H])[H])C(=O)C2=C(C([H])=C([H])C([H])=C2[H])C1=O)C([H])([H])[H] AFC000205
C1([H])=C(C([H])=C([H])C(=C1[H])N([H])[H])C(=O)[O-] AFC000206
C([H])([H])=C([H])C1=C2C([H])=C3C(=C(C([H])=C([H])[H])C(=C([H])C4=NC(=C([H])C5=NC(=C([H])C(=C1C([H])([H])[H])N2[H])C(=C5C([H])([H])C([H])([H])C(=O)O[H])C([H])([H])[H])C(=C4C([H])([H])[H])C([H])([H])C([H])([H])C(=O)O[H])N3[H])C([H])([H])[H] AFC000207
C1([H])=C([H])C(=C(C([H])=C1[H])OC2([H])C([H])(C([H])(C([H])(C([H])(C([H])([H])O[H])O2)O[H])O[H])O[H])C([H])([H])O[H] AFC000208
C([H])([H])([H])C(=C([H])C([H])([H])C([H])(C1=C([H])C(=O)C2=C(C(=C([H])C([H])=C2O[H])O[H])C1=O)O[H])C([H])([H])[H] AFC000209
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)O[H] AFC000210
C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C([H])([H])C([H])([H])N([H])[H] AFC000211
C([H])([H])(C([H])(C([H])(C([H])(C([H])(C([H])([H])O[H])O[H])O[H])O[H])O[H])O[H] AFC000212
C([H])([H])([H])C1=C([H])N(C2([H])C([H])([H])C([H])(C([H])(C([H])([H])O[H])O2)O[H])C(=O)N([H])C1=O AFC000213
C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O[H])O1)O[H])O[H])O[H])O[H] AFC000214
C1([H])([H])C([H])(C([H])([H])N([H])C1([H])C(=O)O[H])O[H] AFC000215
C([H])([H])(C([H])(C(=O)O[H])N([H])[H])C(=O)O[H] AFC000223
C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O1)OC2(C([H])([H])O[H])C([H])(C([H])(C([H])(C([H])([H])O[H])O2)O[H])O[H])O[H])O[H])O[H])O[H] AFC000225
C([H])([H])([H])C(=O)C1([H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])([H])C([H])([H])C4(C([H])([H])[H])C3([H])C([H])([H])C([H])([H])C12C([H])([H])[H] AFC000226
C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])=C4C([H])([H])C([H])(C([H])([H])C([H])([H])C4(C([H])([H])[H])C3([H])C([H])([H])C([H])([H])C12C([H])([H])[H])O[H] AFC000227
C1([H])([H])C([H])(C([H])(C([H])(C([H])(O[H])O1)O[H])O[H])O[H] AFC000229
C1([H])=C([H])N(C2([H])C([H])(C([H])(C([H])(C([H])([H])O[H])O2)O[H])O[H])C(=O)N([H])C1=O AFC000230
C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O[H])O1)O[H])O[H])O[H])O[H] AFC000233
C1([H])=C(C([H])([H])C([H])(C(=O)O[H])N([H])[H])C([H])=C(C(=C1[H])O[H])O[H] AFC000234
C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])([H])O[H] AFC000235
C1([H])([H])C2([H])C([H])(C([H])(C([H])(N3C([H])=NC4=C3N=C([H])N=C4N([H])[H])O2)O[H])OP(=O)(O[H])O1 AFC000237
C([H])([H])([H])C([H])(C([H])([H])[H])C([H])([H])C([H])(C(=O)O[H])N([H])[H] AFC000239
C([H])([H])([H])C12C([H])([H])C([H])([H])C(=O)C([H])=C2C([H])([H])C([H])([H])C3([H])C4([H])C([H])([H])C([H])([H])C(=O)C4(C([H])([H])[H])C([H])([H])C([H])([H])C31[H] AFC000240
C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O1)OC2([H])C([H])(C([H])([H])O[H])OC([H])(C([H])(C2([H])O[H])O[H])O[H])O[H])O[H])O[H])O[H] AFC000244
C([H])([H])([H])SC([H])([H])C([H])([H])C([H])(C(=O)O[H])N([H])[H] AFC000245
C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C([H])(C(=O)O[H])N([H])[H] AFC000246
C1([H])=C([H])N(C2([H])C([H])(C([H])(C([H])(C([H])([H])O[H])O2)O[H])O[H])C(=O)N=C1N([H])[H] AFC000247
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])=O AFC000249
C([H])([H])(C([H])(C([H])(C([H])(C([H])(C([H])([H])O[H])O[H])O[H])O[H])O[H])O[H] AFC000250
C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O1)OC2([H])C([H])(C([H])([H])O[H])OC([H])(C([H])(C2([H])O[H])O[H])O[H])O[H])O[H])O[H])O[H] AFC000251
C([H])([H])(C([H])([H])C([H])(C(=O)O[H])N([H])[H])C([H])([H])N([H])[H] AFC000252
C([H])([H])(C1=C([H])N=C([H])N1[H])C([H])(C(=O)O[H])N([H])[H] AFC000254
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])O[H] AFC000255
C1([H])([H])C([H])(C([H])(C([H])(C([H])([H])C1(C(=O)O[H])O[H])O[H])O[H])O[H] AFC000262
C([H])([H])=C([H])C(C([H])([H])[H])(C([H])([H])C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])O[H] AFC000263
C([H])([H])([H])C(C([H])([H])[H])(C([H])([H])O[H])C([H])(C(=O)N([H])C([H])([H])C([H])([H])C(=O)O[H])O[H] AFC000268
C([H])([H])([H])C([H])(C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S(=O)(=O)O[H])C1([H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])(C([H])([H])C([H])(C12C([H])([H])[H])O[H])C4(C([H])([H])[H])C([H])([H])C([H])([H])C([H])(C([H])([H])C4([H])C([H])([H])C3([H])O[H])O[H] AFC000269
C([H])([H])([H])C([H])(C([H])([H])[H])C1=C([H])C([H])=C(C([H])([H])[H])C([H])=C1O[H] AFC000270
C([H])([H])(C1([H])C([H])(C([H])(C([H])(C(=O)O1)O[H])O[H])O[H])O[H] AFC000271
C([H])([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])=O AFC000272
C([H])([H])([H])C([H])([H])C(=O)C([H])([H])C([H])([H])[H] AFC000273
C([H])([H])(C1([H])C([H])(C([H])(C([H])(O1)OP(=O)(O[H])OP(=O)(O[H])O[H])O[H])O[H])OP(=O)(O[H])O[H] AFC000274
C([H])([H])([H])C([H])([H])OC(=O)C([H])(C([H])([H])[H])C([H])([H])[H] AFC000275
C1([H])=C([H])OC(=C1[H])C([H])=O AFC000276
C1([H])([H])C([H])([H])C(=O)N([H])C1([H])C(=O)O[H] AFC000277
C([H])([H])([H])C(=O)C1=C([H])C([H])=C([H])C([H])=C1[H] AFC000278
C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O1)OC2([H])C([H])(C([H])(C([H])(C([H])(C([H])([H])O[H])O2)O[H])O[H])O[H])O[H])O[H])O[H])O[H] AFC000279
