afc_id	class	pathway	superclass
AFC000394	Monoacylglycerols	Fatty acids	Glycerolipids
AFC000396	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000397	Wax monoesters	Fatty acids	Fatty esters
AFC000398	Hydrocarbons	Fatty acids	Fatty acyls
AFC000399	Carane monoterpenoids	Terpenoids	Monoterpenoids
AFC000400	Fatty alcohols	Fatty acids	Fatty acyls
AFC000401	Apocarotenoids (β-)	Terpenoids	Apocarotenoids
AFC000408	Acyclic monoterpenoids	Terpenoids	Monoterpenoids
AFC000409	Fatty alcohols	Fatty acids	Fatty acyls
AFC000410	Wax monoesters	Fatty acids	Fatty esters
AFC000411	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000412	Purine alkaloids	Alkaloids	Pseudoalkaloids (transamidation)
AFC000413	Aminoacids	Amino acids and Peptides	Small peptides
AFC000415	Fatty acids	Fatty acyls
AFC000416	Fatty acids
AFC000417	Purine nucleosides	Carbohydrates	Nucleosides
AFC000418	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000419	Acyclic monoterpenoids	Terpenoids	Monoterpenoids
AFC000420	Oxygenated hydrocarbons	Fatty acids	Fatty acyls
AFC000421	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000422	Fatty aldehydes	Fatty acids	Fatty acyls
AFC000423
AFC000425	Purine nucleosides	Carbohydrates	Nucleosides
AFC000427	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000428	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000429	Pyrimidine nucleotides	Carbohydrates	Nucleosides
AFC000432	Monosaccharides	Carbohydrates	Saccharides
AFC000433	Dipeptides	Amino acids and Peptides	Small peptides
AFC000434	Ergostane steroids	Terpenoids	Steroids
AFC000435	Tripeptides	Amino acids and Peptides	Small peptides
AFC000436	Dibenzylbutane lignans	Shikimates and Phenylpropanoids	Lignans
AFC000437	Monosaccharides	Carbohydrates	Saccharides
AFC000438	Cholestane steroids	Terpenoids	Steroids
AFC000439	Wax monoesters	Fatty acids	Fatty esters
AFC000440
AFC000442	Aminoacids	Amino acids and Peptides	Small peptides
AFC000443	Flavanones	Shikimates and Phenylpropanoids	Flavonoids
AFC000444	Fatty alcohols	Fatty acids	Fatty acyls
AFC000445	Aminoacids	Amino acids and Peptides	Small peptides
AFC000446
AFC000447	Monosaccharides	Carbohydrates	Saccharides
AFC000448	Dipeptides	Amino acids and Peptides	Small peptides
AFC000451
AFC000452	Flavandiols (Leucoanthocyanidins)	Shikimates and Phenylpropanoids	Flavonoids
AFC000453	N-acyl amines	Fatty acids	Fatty amides
AFC000454	Oleanane triterpenoids	Terpenoids	Triterpenoids
AFC000456	Dihydroflavonols	Shikimates and Phenylpropanoids	Flavonoids
AFC000457	Oleanane triterpenoids	Terpenoids	Triterpenoids
AFC000458	Purine nucleotides	Carbohydrates	Nucleosides
AFC000459	Furofuranoid lignans	Shikimates and Phenylpropanoids	Lignans
AFC000460	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000461	Simple indole alkaloids	Alkaloids	Tryptophan alkaloids
AFC000462	Hydrocarbons	Fatty acids	Fatty acyls
AFC000463	Monosaccharides	Carbohydrates	Saccharides
AFC000465	Tropane alkaloids	Alkaloids	Ornithine alkaloids
AFC000466	Hydroxy fatty acids	Fatty acids	Fatty Acids and Conjugates
AFC000467	Flavanones	Shikimates and Phenylpropanoids	Flavonoids
AFC000469	Lactones	Fatty acids	Fatty esters
AFC000471	Cholestane steroids	Terpenoids	Steroids
AFC000472	Carbohydrates
AFC000473	Aminoacids	Amino acids and Peptides	Small peptides
AFC000474	Prenyl quinone meroterpenoids	Terpenoids	Meroterpenoids
AFC000475	Gibberellins	Terpenoids	Diterpenoids
AFC000476	Cycloartane triterpenoids;Lanostane, Tirucallane and Euphane triterpenoids	Terpenoids	Triterpenoids
